217, At. Madrid, Murcia, 37, 22, 15, 4, 17, 35, 22, 19, 30, 0.6363636, 0.4, 1, 1, X
218, Levante, Racing, 12, 33, -21, 20, 6, 16, 39, 22, 22, 0.18181819, 0.1, 1, 1, X
219, Recreativo, Sevilla, 22, 29, -7, 18, 7, 17, 28, 39, 29, 0.3, 0.18181819, 1, 2, 2
220, Valladolid, Valencia, 27, 27, 0, 9, 11, 30, 32, 22, 33, 0.36363637, 0.3, 0, 2, 2
221, Sevilla, Barcelona, 32, 47, -15, 7, 2, 41, 30, 41, 14, 0.72727275, 0.18181819, 1, 1, X
222, Athletic, Levante, 23, 13, 10, 15, 20, 19, 23, 17, 40, 0.18181819, 0.27272728, 1, 0, 1
223, Deportivo, Getafe, 23, 27, -4, 17, 13, 23, 33, 27, 31, 0.2, 0.33333334, 1, 1, X
224, Racing, At. Madrid, 34, 38, -4, 6, 5, 23, 23, 36, 23, 0.6, 0.25, 0, 2, 2
225, Mallorca, Almería, 27, 32, -5, 11, 8, 32, 34, 20, 21, 0.4, 0.16666667, 0, 0, X
226, Espanyol, Recreativo, 39, 22, 17, 3, 19, 32, 24, 18, 30, 0.6, 0.41666666, 1, 2, 2
227, R. Madrid, Valladolid, 53, 27, 26, 1, 12, 46, 18, 30, 34, 1.0, 0.5833333, 7, 0, 1
228, Osasuna, Zaragoza, 23, 29, -6, 16, 10, 23, 28, 35, 35, 0.36363637, 0.18181819, 1, 0, 1
229, Valencia, Betis, 30, 25, 5, 9, 14, 24, 33, 23, 31, 0.3, 0.5, 3, 1, 1
230, Murcia, Villarreal, 23, 39, -16, 18, 4, 20, 31, 40, 34, 0.4, 0.083333336, 0, 1, 2
231, Zaragoza, Barcelona, 29, 48, -19, 10, 2, 35, 36, 42, 15, 0.5, 0.09090909, 1, 2, 2
232, Betis, R. Madrid, 25, 56, -31, 16, 1, 24, 34, 53, 18, 0.36363637, 0.16666667, 2, 1, 1
